trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
97,False,"{'a': 0.5, 'e': 0.38289288597511206}",20,0,-64.73669709744989,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
98,False,"{'a': 0.5, 'e': 0.37908303810339883}",20,0,-1.3381378968158821,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.37531109885139957}",25,17,15.425438627107269,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.3715766910220457}",20,1,-0.04668736960240705,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,9,-1.1403647899225282,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.3642189795715233}",20,0,26.423668413688358,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.3605949401730783}",25,6,14.525270079452849,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.3570069605691474}",30,17,-27.237029667162652,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
105,False,"{'a': 0.5, 'e': 0.35345468195878016}",20,12,16.535930195770344,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.3499377491111553}",25,8,-34.56004582881175,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 1}",1
107,False,"{'a': 0.5, 'e': 0.34645581033005746}",20,0,-12.91846626117701,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.3430085174187067}",25,7,-8.405942071055001,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.33959552564493917}",20,14,-39.85974289097866,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
110,False,"{'a': 0.5, 'e': 0.33621649370673334}",25,12,-102.1134640121363,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 3}",1
111,False,"{'a': 0.5, 'e': 0.33287108369807955}",35,20,-8.524261275584358,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
